method,dataset,dataset_version,pretrained,train,epochs,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40
second,KITTIDataset,"14,57,21,35,23,16,43,34,44,4,2,7,51,38,19,12",True,False,80,77.55596720618307,40.56640459034089,50.774712364927986
second,KITTIDataset,"48,61,23,37,59,21,16,19,28,38,60,7,3,27,46,49",True,False,80,75.68414544443533,37.19740025529543,56.21951932489429
second,KITTIDataset,"32,17,39,26,28,62,60,38,42,41,57,48,5,44,2,52",True,False,80,75.47250782461565,35.683750442432434,52.295553600491004
second,KITTIDataset,"23,63,8,31,29,57,7,28,55,34,60,37,16,44,48,41",True,False,80,75.82920949884966,44.124619182532186,50.65573998065517
second,KITTIDataset,"45,35,57,23,58,1,49,21,47,44,46,16,29,54,28,50",True,False,80,65.4499430079899,26.284689933097305,32.70544628355495
second,KITTIDataset,"31,43,39,56,0,22,14,27,37,53,59,5,1,55,20,45",True,False,80,70.5399214218095,41.75737506397028,46.45744616751672
second,KITTIDataset,"50,21,45,26,56,32,30,22,42,0,62,37,63,7,27,60",True,False,80,76.39345581219592,45.32800605209067,55.57824812772279
second,KITTIDataset,"29,8,60,36,16,51,58,31,18,44,11,39,55,56,46,52",True,False,80,68.98228311749195,37.2981702861298,41.89141347599975
second,KITTIDataset,"54,18,60,59,25,57,46,24,55,16,58,27,62,5,61,29",True,False,80,72.7802937757579,44.90841594689954,47.91614053498211
second,KITTIDataset,"61,14,30,40,23,55,31,48,38,13,2,10,52,17,27,59,43,7",True,False,80,75.91469590745778,41.193080527572974,55.1940744536385
second,KITTIDataset,"43,16,13,40,0,47,37,55,63,33,25,29,12,23,2,8,3,56",True,False,80,72.53802670636881,45.10682693220481,46.92830763988064
second,KITTIDataset,"43,19,30,21,63,29,58,23,32,35,47,18,52,20,45,53,4,40",True,False,80,72.73064699470389,40.40686086807549,49.393861650467976
second,KITTIDataset,"42,17,21,59,32,6,19,50,61,28,18,3,2,55,51,0,47,53",True,False,80,73.07203604454277,37.99946377543385,49.96652446973069
second,KITTIDataset,"57,34,40,7,28,38,22,43,36,47,23,42,1,19,6,8,30,52",True,False,80,75.5809085526937,41.05125575001167,51.640683940065855
second,KITTIDataset,"50,15,40,23,46,54,24,42,55,29,39,0,34,60,33,14,4,9",True,False,80,69.79397690342164,35.99065671607337,41.65932250491985
second,KITTIDataset,"54,44,22,38,0,5,8,17,59,31,19,57,15,35,23,9,53,48",True,False,80,72.96750355902779,43.139301199941535,48.520224273420574
second,KITTIDataset,"63,2,35,23,9,39,26,48,30,10,56,40,52,46,47,24,57,45",True,False,80,65.26441186217582,28.45775054676252,35.57058844781068
second,KITTIDataset,"12,54,16,50,8,24,45,19,42,52,35,31,13,39,57,7,36,14",True,False,80,75.59521208507489,43.520650498699,48.55115107188623
second,KITTIDataset,"21,38,22,55,7,30,42,28,62,52,9,15,26,46,12,45,59,4",True,False,80,75.34788831127732,40.185620122187615,51.86321539405887
second,KITTIDataset,"18,55,52,8,21,5,20,31,36,57,63,1,11,3,6,39,10,34,59,62",True,False,80,76.45749273621439,46.741885078183856,52.77905614715458
second,KITTIDataset,"19,34,23,14,59,9,16,12,2,60,8,53,55,38,29,26,63,31,20,56",True,False,80,72.35319687646137,46.614863984595075,49.99205151094494
second,KITTIDataset,"17,36,16,55,35,22,57,45,10,34,38,49,26,12,13,21,33,63,46,54",True,False,80,66.90630823887534,29.946286775699555,36.17879804487356
second,KITTIDataset,"42,12,30,13,23,14,41,19,9,3,15,61,28,63,38,10,55,21,51,52",True,False,80,73.28890999468139,37.37773298166297,47.78545641997498
second,KITTIDataset,"15,56,1,60,6,45,28,51,2,30,12,57,40,61,3,29,13,44,21,14",True,False,80,73.00504169507451,37.876328656052856,45.448964000133856
second,KITTIDataset,"45,20,13,5,60,21,46,52,42,27,19,37,28,18,53,51,31,4,63,3",True,False,80,67.33770196112856,34.05184530394471,49.160926820554096
second,KITTIDataset,"53,55,35,44,10,17,32,20,51,41,37,40,49,34,33,15,29,8,1,11",True,False,80,71.16212422826243,33.3720412125153,42.570703049286394
second,KITTIDataset,"14,39,1,28,8,6,45,32,42,61,54,49,20,2,24,33,47,9,17,50",True,False,80,74.61698013868975,36.910427689448596,49.65736508872966
second,KITTIDataset,"6,58,11,62,15,1,5,0,46,36,38,48,56,63,45,24,22,23,44,13",True,False,80,73.12668440425315,34.12516655150142,46.04443827776223
second,KITTIDataset,"40,48,60,32,35,63,16,41,50,29,36,8,54,31,2,14,46,30,61,49",True,False,80,68.75902661312345,23.7122143501641,39.41051945055876
