method,dataset,dataset_version,pretrained,train,epochs,recall/roi_0.3,recall/rcnn_0.3,recall/roi_0.5,recall/rcnn_0.5,recall/roi_0.7,recall/rcnn_0.7,Car_aos/easy_R40,Car_aos/moderate_R40,Car_aos/hard_R40,Car_3d/easy_R40,Car_3d/moderate_R40,Car_3d/hard_R40,Pedestrian_aos/easy_R40,Pedestrian_aos/moderate_R40,Pedestrian_aos/hard_R40,Pedestrian_3d/easy_R40,Pedestrian_3d/moderate_R40,Pedestrian_3d/hard_R40,Cyclist_aos/easy_R40,Cyclist_aos/moderate_R40,Cyclist_aos/hard_R40,Cyclist_3d/easy_R40,Cyclist_3d/moderate_R40,Cyclist_3d/hard_R40
pv_rcnn_8369,KITTIDataset,"29,14",True,False,80,0.9684,0.9686,0.9282,0.9343,0.7155,0.7585,98.2557,94.2777,92.0667,92.0791,84.1892,82.4463,67.9345,62.3549,58.7862,63.3553,55.4725,50.9492,96.8998,80.6423,77.6494,88.5401,69.5617,66.3258
pv_rcnn_8369,KITTIDataset,"52,14",True,False,80,0.9653,0.9652,0.9231,0.9282,0.7091,0.7514,97.7068,93.915,91.8653,91.5826,82.6727,80.3504,66.915,60.7985,56.74,62.4737,53.9105,49.2677,94.7589,78.3437,75.2744,88.3817,69.0986,64.8161
pv_rcnn_8369,KITTIDataset,"62,40",True,False,80,0.9679,0.9684,0.9265,0.9329,0.7128,0.7573,97.7581,94.161,91.9899,91.9781,82.9947,82.3544,68.5948,62.7783,58.7858,60.8254,53.6511,48.9591,96.3195,81.8364,77.5668,90.6216,69.374,65.7465
pv_rcnn_8369,KITTIDataset,"26,46",True,False,80,0.9677,0.9682,0.9236,0.9292,0.7105,0.7542,97.8862,94.1239,91.9352,91.8052,82.8579,82.2112,66.9227,61.5166,57.5065,60.2247,52.1431,47.0166,93.9857,77.487,74.6669,86.5526,67.6334,64.3115
pv_rcnn_8369,KITTIDataset,"5,27",True,False,80,0.9687,0.9689,0.9281,0.9344,0.7161,0.7594,98.3036,94.2641,92.056,92.1183,82.9927,82.4552,66.9401,61.696,57.8366,62.7081,54.6427,50.0403,96.8282,80.4214,77.3679,88.9782,70.6854,66.4822
pv_rcnn_8369,KITTIDataset,"55,18",True,False,80,0.9624,0.9622,0.9194,0.9252,0.7059,0.7482,97.5456,93.7671,91.6991,91.4315,82.5532,80.1617,66.5403,61.1282,56.9562,61.549,53.6312,49.013,94.2477,74.6442,71.4719,88.9546,65.0328,60.8379
pv_rcnn_8369,KITTIDataset,"55,34",True,False,80,0.9621,0.9622,0.9192,0.925,0.7033,0.7456,97.5736,93.7512,91.6887,91.3929,82.4505,80.0881,66.241,60.7172,56.5388,61.1887,53.4167,48.787,94.0023,74.4548,71.2474,88.7279,64.9088,60.4994
pv_rcnn_8369,KITTIDataset,"26,41",True,False,80,0.9676,0.9677,0.9264,0.9326,0.7102,0.7542,98.0345,94.2341,92.0099,91.7896,82.8231,82.17,66.2686,61.0787,56.9847,60.2663,53.1628,48.8425,96.8768,80.1341,76.9936,89.3926,69.7548,65.4712
pv_rcnn_8369,KITTIDataset,"7,13",True,False,80,0.9686,0.9687,0.9289,0.9345,0.7175,0.7602,98.258,94.2707,92.0621,92.11,84.3958,82.5164,67.7764,62.2574,58.1249,62.7472,55.0854,50.0589,97.0169,80.5983,77.4828,88.9834,69.7376,66.459
pv_rcnn_8369,KITTIDataset,"13,17",True,False,80,0.9684,0.9686,0.9287,0.9342,0.7173,0.7594,98.2203,94.2722,92.0532,92.0459,84.3542,82.478,67.722,62.2972,58.2317,62.8525,54.7316,50.1413,96.9332,80.5716,77.4639,88.9606,69.6473,66.3636
pv_rcnn_8369,KITTIDataset,"18,19",True,False,80,0.9686,0.9688,0.9285,0.9343,0.7167,0.7595,98.2546,94.2186,92.0419,92.027,82.9617,82.4402,67.7848,62.4021,58.731,62.8732,55.1375,50.1537,96.925,80.5023,77.4196,88.8664,69.4694,66.0771
pv_rcnn_8369,KITTIDataset,"39,10",True,False,80,0.968,0.9683,0.9264,0.9326,0.714,0.7577,98.1666,94.2161,92.0201,92.0566,82.9686,82.3817,67.9547,62.2567,57.9863,61.7449,53.6804,49.151,94.3035,79.3749,75.1237,87.6573,68.6741,64.2933
pv_rcnn_8369,KITTIDataset,"44,34",True,False,80,0.9671,0.9675,0.9256,0.9307,0.7086,0.7523,96.2011,94.2089,91.9575,91.7123,82.7903,82.0872,66.7781,61.6244,58.2479,60.2779,53.2013,48.6932,94.1157,77.7321,74.5403,89.2234,68.0392,64.6927
pv_rcnn_8369,KITTIDataset,"62,42",True,False,80,0.9682,0.9682,0.927,0.9326,0.7121,0.7562,98.095,94.1827,92.0021,91.9197,82.9182,82.3347,68.0114,62.5263,58.0775,62.4163,54.8792,49.7581,96.4721,80.9972,76.8254,89.9759,69.321,64.9742
pv_rcnn_8369,KITTIDataset,"56,47",True,False,80,0.9612,0.9612,0.9153,0.9197,0.7015,0.7451,97.3792,93.6523,91.645,91.5113,82.4302,80.1232,66.0798,60.1225,57.0868,60.2788,52.4965,47.7705,93.4491,73.0392,70.359,85.6061,62.2106,59.1397
pv_rcnn_8369,KITTIDataset,"40,56",True,False,80,0.9622,0.9623,0.9179,0.9236,0.7049,0.7477,97.5463,93.6692,91.6957,91.631,82.589,81.6789,68.0205,61.8792,57.714,60.873,53.3816,47.8159,93.5168,73.5508,69.5709,88.2339,64.573,60.3027
pv_rcnn_8369,KITTIDataset,"62,25",True,False,80,0.9684,0.9687,0.9285,0.934,0.7176,0.7611,98.1888,94.2181,92.0287,92.0395,84.3998,82.5094,67.7548,62.3221,58.0728,62.5264,54.5166,50.0058,96.8585,82.4523,79.3454,89.1415,70.3705,66.1452
pv_rcnn_8369,KITTIDataset,"20,57",True,False,80,0.9649,0.9648,0.9233,0.9289,0.711,0.7536,98.0385,94.0806,91.9088,91.9295,83.0658,82.3212,68.1188,62.4575,58.2629,63.0468,54.8673,50.287,93.2447,75.7264,72.0011,86.2513,64.0651,59.9817
pv_rcnn_8369,KITTIDataset,"48,52",True,False,80,0.9626,0.9624,0.9168,0.9231,0.7007,0.7447,97.5691,93.6055,91.6919,91.5245,82.4949,80.1933,65.4434,59.4786,55.3573,60.2782,51.7142,47.0073,94.2176,77.618,74.401,87.2167,66.9384,62.3442
pv_rcnn_8369,KITTIDataset,"3,56",True,False,80,0.9628,0.9627,0.9202,0.9252,0.7095,0.7516,97.8888,93.8351,91.766,91.6827,82.6881,82.0022,67.6763,61.711,57.78,62.9299,54.6722,49.8289,94.1764,74.3061,71.3116,88.6051,64.8168,60.5703
pv_rcnn_8369,KITTIDataset,"39,10",True,False,80,0.968,0.9683,0.9264,0.9326,0.714,0.7577,98.1666,94.2161,92.0201,92.0566,82.9686,82.3817,67.9547,62.2567,57.9863,61.7449,53.6804,49.151,94.3035,79.3749,75.1237,87.6573,68.6741,64.2933
pv_rcnn_8369,KITTIDataset,"26,44",True,False,80,0.9674,0.9676,0.9254,0.9305,0.7099,0.7539,96.37,94.1916,91.9561,91.9542,82.8437,82.1794,66.4659,61.2912,57.4318,59.6639,52.5909,48.231,94.5415,79.1263,75.0382,89.6172,69.5618,65.3469
pv_rcnn_8369,KITTIDataset,"40,23",True,False,80,0.9678,0.9681,0.9262,0.9326,0.7127,0.7562,97.8949,94.1494,91.9826,92.0044,82.9384,82.333,68.0201,62.4426,58.6444,60.4516,53.3783,48.8468,96.1808,79.9315,75.5668,90.3888,69.546,65.9374
pv_rcnn_8369,KITTIDataset,"60,49",True,False,80,0.9661,0.9661,0.9237,0.9291,0.7059,0.7532,98.134,94.2,91.9775,91.819,82.7616,82.1259,65.6843,60.3373,56.4755,60.5109,52.437,47.9262,94.6038,80.7749,76.5526,87.9862,68.0026,63.7668
pv_rcnn_8369,KITTIDataset,"13,55",True,False,80,0.9624,0.9623,0.9196,0.9252,0.706,0.7488,97.5759,93.7964,91.7095,91.5027,82.562,80.1751,66.621,61.3296,57.0949,61.4624,53.6295,49.0069,94.2658,74.7545,71.525,89.0806,65.1764,60.9391
pv_rcnn_8369,KITTIDataset,"61,36",True,False,80,0.968,0.9683,0.928,0.933,0.7139,0.7577,98.2079,94.2234,92.0709,92.068,84.2123,82.4142,67.077,61.2947,57.3472,61.6881,53.6435,48.9793,96.5357,80.3227,76.7628,88.7428,69.2413,64.7987
pv_rcnn_8369,KITTIDataset,"57,41",True,False,80,0.9639,0.9638,0.9213,0.9272,0.7046,0.7484,98.0494,94.0591,91.8707,91.7949,82.8987,82.1159,67.5522,61.3046,57.5176,61.4707,53.8925,49.3492,93.1819,74.2292,71.3125,86.8505,63.6454,59.6904
pv_rcnn_8369,KITTIDataset,"2,61",True,False,80,0.9686,0.9687,0.9288,0.9343,0.7175,0.7593,98.2452,94.2885,92.0889,92.1365,84.5605,82.5258,67.4941,61.7116,57.7359,62.7065,54.9792,49.8756,96.9136,80.5649,77.481,89.479,71.1012,66.7108
pv_rcnn_8369,KITTIDataset,"49,54",True,False,80,0.9605,0.9605,0.9153,0.9209,0.6909,0.7381,96.0393,92.0402,91.7439,91.2934,82.2021,79.9925,65.0169,58.8518,55.358,59.881,50.983,46.7385,93.0867,76.1453,73.2405,85.0489,63.9472,60.6203
pv_rcnn_8369,KITTIDataset,"0,13",True,False,80,0.9686,0.9687,0.9289,0.9345,0.7175,0.7601,98.259,94.2699,92.0618,92.1153,84.3609,82.5162,67.7797,62.2654,58.1336,62.8215,55.1402,50.1056,97.0215,80.6003,77.4874,88.9515,69.7382,66.4224
pv_rcnn_8369,KITTIDataset,"44,6",True,False,80,0.9675,0.9678,0.9258,0.9309,0.711,0.7546,98.1067,94.2089,91.9752,91.97,82.8577,82.2154,67.1092,61.667,57.7529,60.3663,53.1324,48.6467,94.4789,78.9855,74.8202,89.5122,69.1985,65.0328
pv_rcnn_8369,KITTIDataset,"39,17",True,False,80,0.9679,0.9683,0.9263,0.9325,0.7139,0.7572,98.1231,94.2223,92.0245,91.9964,82.9336,82.3364,67.8019,62.1591,57.9756,61.6363,53.6038,49.0653,94.2061,79.35,75.1049,87.4781,68.5497,64.2385
pv_rcnn_8369,KITTIDataset,"28,19",True,False,80,0.9684,0.9685,0.9281,0.9342,0.7151,0.7595,98.2452,94.2631,93.5956,92.0952,84.2662,82.4689,67.4134,62.2737,58.5847,62.5472,54.6159,49.9718,97.0021,80.4559,77.3924,88.7709,69.3422,66.0546
