method,dataset,dataset_version,pretrained,train,epochs,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40
pv_rcnn_8369,KITTIDataset,"47,12,7,34,4,13,44,5,58,54,2,52,16,32",True,False,80,79.79766372015598,48.335981733911126,56.427272427776145
pv_rcnn_8369,KITTIDataset,"1,57,28,63,25,18,33,58,19,59,46,12,6,26",True,False,80,82.33389884418318,49.947729182723144,59.30999872830254
pv_rcnn_8369,KITTIDataset,"44,3,57,20,19,59,8,36,9,12,61,47,56,38",True,False,80,79.52007643810944,49.60626534410441,54.01252485536996
pv_rcnn_8369,KITTIDataset,"59,52,42,54,19,57,15,13,9,7,49,21,36,51",True,False,80,76.83785626174338,42.96212694811847,50.72186174562857
pv_rcnn_8369,KITTIDataset,"10,28,51,39,21,35,53,8,50,37,2,43,32,63",True,False,80,78.57169504534093,39.252390395210455,58.80082840128142
pv_rcnn_8369,KITTIDataset,"18,59,61,52,14,48,1,0,17,41,16,38,36,3",True,False,80,81.77834826358652,49.02481005813815,64.44455141420178
pv_rcnn_8369,KITTIDataset,"2,41,47,35,57,20,15,24,16,8,7,1,62,31",True,False,80,82.36074144925307,51.13013908320957,62.64986621863437
pv_rcnn_8369,KITTIDataset,"19,21,24,48,45,33,47,44,40,26,22,62,11,13,32,46",True,False,80,69.67550472208538,32.85275075507275,45.659693419734225
pv_rcnn_8369,KITTIDataset,"63,36,33,26,8,28,45,35,44,34,30,54,38,46,32,48",True,False,80,73.5157584110962,28.322759498920586,37.77932132090134
pv_rcnn_8369,KITTIDataset,"15,53,7,46,8,41,55,61,43,31,5,63,42,0,56,37",True,False,80,72.94995357920271,37.069952185812156,42.579105377034765
pv_rcnn_8369,KITTIDataset,"10,7,50,49,24,56,35,30,55,27,0,42,51,46,41,48",True,False,80,65.2026185675475,28.31575277292503,34.39827594368363
pv_rcnn_8369,KITTIDataset,"20,27,33,8,9,0,49,15,42,17,63,46,30,60,52,47",True,False,80,79.30306458198892,44.71373926727303,60.6474395621562
