method,dataset,dataset_version,pretrained,train,epochs,recall/roi_0.3,recall/rcnn_0.3,recall/roi_0.5,recall/rcnn_0.5,recall/roi_0.7,recall/rcnn_0.7,Car_aos/easy_R40,Car_aos/moderate_R40,Car_aos/hard_R40,Car_3d/easy_R40,Car_3d/moderate_R40,Car_3d/hard_R40,Pedestrian_aos/easy_R40,Pedestrian_aos/moderate_R40,Pedestrian_aos/hard_R40,Pedestrian_3d/easy_R40,Pedestrian_3d/moderate_R40,Pedestrian_3d/hard_R40,Cyclist_aos/easy_R40,Cyclist_aos/moderate_R40,Cyclist_aos/hard_R40,Cyclist_3d/easy_R40,Cyclist_3d/moderate_R40,Cyclist_3d/hard_R40
pointpillar_7728,KITTIDataset,"20,45,49,51,56,54,37,5,22,19,58,62,32,39,52,36",True,False,80,0.0,0.8922,0.0,0.8163,0.0,0.5416,94.1332,85.4948,83.3935,77.5931,66.2633,62.6639,42.098,39.1132,36.0413,43.6731,38.7506,34.8,75.2202,56.0651,52.5191,66.8704,47.8309,44.4184
pointpillar_7728,KITTIDataset,"20,18,35,21,5,23,26,43,11,4,48,59,53,37,33,10",True,False,80,0.0,0.926,0.0,0.8638,0.0,0.5963,95.2919,90.3055,87.7599,85.1129,73.2221,69.8219,47.2249,43.742,40.5117,52.2582,46.7215,42.3797,80.6382,64.258,61.028,76.2679,57.8706,54.2098
pointpillar_7728,KITTIDataset,"55,11,62,47,41,19,26,33,2,39,14,53,38,12,16,4",True,False,80,0.0,0.9166,0.0,0.8488,0.0,0.5794,95.0048,88.6613,86.8415,82.8598,71.6695,66.9222,43.8534,40.3235,37.2145,49.7642,44.1202,39.917,76.6054,58.6344,55.2299,69.6959,52.0975,48.8078
pointpillar_7728,KITTIDataset,"32,4,7,60,9,18,54,10,1,41,30,50,58,23,12,48",True,False,80,0.0,0.9229,0.0,0.8572,0.0,0.5915,95.271,90.6211,87.7851,84.9486,72.77,69.3614,42.9525,40.5593,37.6201,50.985,45.9733,41.8882,82.0004,63.3444,59.7806,74.1932,53.5895,50.1906
pointpillar_7728,KITTIDataset,"20,5,23,63,21,37,6,2,3,46,31,13,60,24,1,34",True,False,80,0.0,0.9363,0.0,0.8738,0.0,0.6199,95.4218,91.6269,90.0882,86.9607,75.9766,72.6663,46.9811,43.8477,40.7026,52.8931,47.153,43.0782,85.4845,69.4359,65.7218,81.1597,61.3966,57.686
pointpillar_7728,KITTIDataset,"20,7,6,31,22,52,17,45,36,35,55,38,57,43,41,62",True,False,80,0.0,0.9076,0.0,0.8357,0.0,0.5683,94.8027,88.5294,85.2139,80.9502,69.7176,66.1368,46.8187,42.2221,38.852,47.9354,42.3788,38.4691,74.5656,56.9995,53.9372,68.4939,49.6136,46.7866
pointpillar_7728,KITTIDataset,"44,55,47,2,59,45,28,1,63,32,6,38,10,46,60,52",True,False,80,0.0,0.902,0.0,0.8126,0.0,0.5226,91.0567,84.2269,80.4258,73.8252,63.0958,59.0256,39.6624,36.0624,32.921,37.443,33.0603,29.5748,61.5966,49.782,47.0973,52.723,41.9635,39.1835
pointpillar_7728,KITTIDataset,"17,4,41,1,60,24,13,47,9,59,48,30,10,20,34,46",True,False,80,0.0,0.9212,0.0,0.8452,0.0,0.571,94.2753,88.373,86.3549,80.8256,70.5471,65.971,41.2752,38.7807,35.8413,44.3168,39.925,36.2824,75.3941,61.9976,58.4671,64.5613,50.6483,47.3193
pointpillar_7728,KITTIDataset,"9,31,28,13,23,6,40,8,7,55,16,38,4,30,43,21",True,False,80,0.0,0.9245,0.0,0.8605,0.0,0.5953,95.3448,90.4158,87.902,84.4265,73.9148,69.888,46.5343,41.9299,39.0263,51.585,45.1821,41.1228,82.026,64.0255,60.38,77.8005,57.3254,53.6571
pointpillar_7728,KITTIDataset,"50,48,49,16,56,31,53,27,33,57,30,19,46,22,47,58",True,False,80,0.0,0.8273,0.0,0.7247,0.0,0.4461,79.6645,73.0742,69.5998,64.2587,53.2076,49.5475,29.6087,27.4249,24.6962,30.447,27.6404,24.5801,56.5593,40.9533,38.7795,49.8489,33.127,31.2659
pointpillar_7728,KITTIDataset,"10,35,43,24,5,41,31,26,2,42,30,25,28,62,1,49",True,False,80,0.0,0.9226,0.0,0.8486,0.0,0.575,94.277,88.6253,86.7569,83.6972,72.1674,67.1227,41.5455,39.159,36.8415,40.968,37.4117,33.9038,76.3009,63.5729,60.1047,59.8117,48.4917,45.9345
pointpillar_7728,KITTIDataset,"62,63,36,34,59,0,58,50,2,5,60,54,29,41,12,26",True,False,80,0.0,0.9244,0.0,0.8611,0.0,0.5969,95.4039,90.889,88.1186,84.7885,72.92,69.6404,41.7549,39.2309,36.3057,53.1219,46.7798,42.4598,84.4503,63.1604,59.9628,81.7297,56.3854,52.9849
pointpillar_7728,KITTIDataset,"24,61,8,2,43,10,32,49,42,41,6,25,57,28,50,11",True,False,80,0.0,0.9117,0.0,0.8338,0.0,0.5576,92.6475,88.0966,84.7691,81.4597,69.694,65.8282,40.2786,37.8095,35.3737,41.5104,37.5028,34.0359,74.7234,60.3741,57.4994,60.2747,46.4624,43.7337
pointpillar_7728,KITTIDataset,"40,46,23,39,43,34,45,32,53,4,20,30,44,33,15,41",True,False,80,0.0,0.88,0.0,0.7855,0.0,0.4832,88.9319,80.8516,76.7826,68.0385,58.3056,53.1741,34.117,31.5,29.2847,28.697,25.7554,23.2283,51.2022,44.2234,42.2098,39.0074,33.8417,32.2389
