method,dataset,dataset_version,pretrained,train,epochs,Car_3d/moderate_R40,Pedestrian_3d/moderate_R40,Cyclist_3d/moderate_R40
pointpillar_7728,KITTIDataset,"45,47,13,38,56,27,36,51,33,18,21,11,0,44",True,False,80,71.70518767504224,41.3550535752185,52.76728382679562
pointpillar_7728,KITTIDataset,"33,1,36,3,54,61,27,51,44,50,35,32,42,38",True,False,80,68.80238920798317,38.52345731865866,46.41871668828158
pointpillar_7728,KITTIDataset,"57,2,11,42,9,53,44,47,43,30,60,6,38,41,39,48",True,False,80,62.62716026979069,29.260892307616302,34.80992299331677
pointpillar_7728,KITTIDataset,"18,30,26,57,19,16,33,10,34,63,36,56,17,47,55,14",True,False,80,66.73344192897979,42.58540724327489,44.88653231499537
pointpillar_7728,KITTIDataset,"1,29,15,33,63,57,23,49,17,47,9,7,10,45,48,32",True,False,80,68.2837637231102,36.19915353195196,46.5687885820684
pointpillar_7728,KITTIDataset,"47,7,30,54,23,4,25,58,46,56,11,18,37,49,40,45",True,False,80,66.06490347609714,36.12030024505199,46.40040833131317
pointpillar_7728,KITTIDataset,"34,38,12,44,4,51,6,19,53,37,62,52,10,28,20,7",True,False,80,63.20733169233376,40.78951356718027,52.71490111014556
pointpillar_7728,KITTIDataset,"16,8,18,4,23,42,59,44,12,9,33,32,20,60,35,52",True,False,80,75.03915901681574,46.22446259978623,58.81005673688527
pointpillar_7728,KITTIDataset,"24,32,0,19,29,39,43,35,3,1,10,7,30,6,47,12",True,False,80,75.67389244479664,45.68220190314122,57.291158795711425
pointpillar_7728,KITTIDataset,"44,37,57,20,5,40,24,21,60,15,25,58,38,46,6,10",True,False,80,74.44928228827641,41.527119534502106,55.126445554580904
pointpillar_7728,KITTIDataset,"29,35,2,32,27,31,17,23,13,9,49,1,39,7,53,61",True,False,80,73.84239105830753,47.169817443234706,56.38494267053912
pointpillar_7728,KITTIDataset,"15,36,48,44,54,23,14,26,45,7,38,28,24,31,50,19",True,False,80,70.07138879141523,39.20821285050478,50.071909509932766
pointpillar_7728,KITTIDataset,"59,5,20,22,52,7,0,40,41,15,61,31,21,55,36,11,16,9",True,False,80,72.63152688757368,45.25665256142769,58.1190565407274
pointpillar_7728,KITTIDataset,"42,61,35,22,48,55,32,58,20,41,51,19,62,31,47,8,40,30",True,False,80,67.8176121729022,32.98467982482048,42.72983189898423
pointpillar_7728,KITTIDataset,"9,37,29,10,15,22,13,63,54,25,31,11,49,20,43,51,3,23",True,False,80,72.38447988338275,44.67389669779373,53.65424974547648
pointpillar_7728,KITTIDataset,"52,1,27,7,9,0,46,23,62,11,43,25,5,10,18,15,33,57",True,False,80,75.24875014398108,47.17460463617821,57.96377284934579
pointpillar_7728,KITTIDataset,"1,35,13,34,37,40,39,58,6,56,5,61,19,9,41,11,29,8",True,False,80,71.26534058287503,38.45825685305327,49.82716620880227
pointpillar_7728,KITTIDataset,"10,30,43,34,20,3,55,54,16,36,41,28,21,19,29,49,27,35",True,False,80,63.30838532915513,36.88149448806153,45.11368952559414
pointpillar_7728,KITTIDataset,"7,42,9,46,52,28,48,29,1,35,39,60,18,21,3,41,15,20",True,False,80,72.92471452890925,40.59330159461169,53.83450794813921
pointpillar_7728,KITTIDataset,"6,37,50,58,54,1,8,30,21,43,2,42,35,48,17,0,55,9",True,False,80,64.89093959049337,40.751548457058405,43.14910839506668
pointpillar_7728,KITTIDataset,"36,38,53,42,30,63,21,58,52,32,37,24,18,27,4,2,57,60",True,False,80,67.96187802888521,41.81913826104303,48.628755180540914
pointpillar_7728,KITTIDataset,"36,56,34,59,62,8,38,51,29,63,43,26,48,42,58,14,45,33",True,False,80,69.45661306316883,37.83099001965168,47.051320628204415
pointpillar_7728,KITTIDataset,"49,23,29,54,46,44,19,20,31,28,48,16,12,52,42,26,57,47,22,37",True,False,80,59.338314331628304,28.958808212595955,37.22967520930017
pointpillar_7728,KITTIDataset,"3,0,21,35,25,19,47,18,48,7,6,27,22,9,49,52,53,8,20,54",True,False,80,55.81071244677081,34.379861022030376,37.741661879104306
pointpillar_7728,KITTIDataset,"23,46,52,17,33,10,44,8,22,29,43,31,27,6,25,28,50,37,40,49",True,False,80,68.94170427453382,30.973206601587126,47.1670071254249
pointpillar_7728,KITTIDataset,"20,55,11,3,28,25,30,31,40,9,52,41,26,50,13,61,44,16,36,8",True,False,80,70.01764243598828,38.40672226745829,55.03143273092922
pointpillar_7728,KITTIDataset,"36,27,43,2,11,6,31,42,45,33,20,41,56,16,44,62,30,32,39,0",True,False,80,58.20877920141376,23.149863211229498,30.639423050418813
pointpillar_7728,KITTIDataset,"24,35,44,40,15,18,58,63,1,32,7,37,55,2,36,25,8,3,31,52",True,False,80,71.89130167586215,40.88192060647815,53.175022668329795
pointpillar_7728,KITTIDataset,"4,6,45,32,1,16,41,46,57,37,49,26,54,51,43,2,19,63,17,8",True,False,80,69.33107350482256,38.8379901968135,45.8793045812888
pointpillar_7728,KITTIDataset,"43,48,55,19,30,37,56,59,6,24,9,42,50,20,47,16,53,11,18,36",True,False,80,63.6382950199607,35.9951076816825,39.9365435791848
pointpillar_7728,KITTIDataset,"56,15,37,13,61,38,22,9,41,19,14,0,44,39,51,60,30,29,5,52",True,False,80,67.14439333537227,35.6458995031833,48.4543577060701
pointpillar_7728,KITTIDataset,"55,50,9,31,44,47,27,53,59,39,7,63,4,36,37,35,52,22,33,16",True,False,80,64.75555424601488,37.29343258308523,41.24922553964181
pointpillar_7728,KITTIDataset,"15,18,26,20,11,44,6,8,52,46,59,38,63,54,45,62,24,0,21,5,13,56",True,False,80,67.62394498393309,38.4657399791663,48.01546043028247
pointpillar_7728,KITTIDataset,"18,44,28,37,14,52,62,16,36,0,27,11,5,4,2,9,3,20,54,1,43,15",True,False,80,71.88394768270346,43.34469681678485,53.44584358902714
pointpillar_7728,KITTIDataset,"6,12,0,26,47,43,38,32,63,30,53,55,19,37,51,40,3,45,23,8,42,58",True,False,80,66.66151543211237,34.31888559060533,42.68586750742836
pointpillar_7728,KITTIDataset,"36,61,34,0,31,30,47,57,42,53,50,11,22,37,5,1,15,19,10,55,16,40",True,False,80,69.15886628841783,41.45299179139473,48.004713896178956
pointpillar_7728,KITTIDataset,"55,28,57,30,49,54,22,48,41,2,13,50,19,60,45,14,3,37,35,6,43,63",True,False,80,57.57277899025296,32.64788550461258,35.28209702423165
